,Name,Period,Diet,Country,UE
620,Lythronax,Cretaceous,carnivore,North America,no info
621,Machairasaurus,Cretaceous,omnivore,China,no info
622,Macrogryphosaurus,Cretaceous,herbivore,South America,no info
623,Macrurosaurus,Cretaceous,herbivore,England,no info
624,Magnamanus,Cretaceous,herbivore,Spain,no info
625,Magnapaulia,Cretaceous,herbivore,North America,no info
626,Magnirostris,Cretaceous,herbivore,China,no info
627,Magnosaurus,Jurassic,carnivore,England,no info
628,Magulodon,Cretaceous,herbivore,North America,no info
629,Magyarosaurus,Cretaceous,herbivore,Romania,no info
630,Mahakala,Cretaceous,carnivore,Mongolia,no info
631,Maiasaura,Cretaceous,herbivore,North America,no info
632,Majungasaurus,Late Cretaceous,carnivore,Madagascar,no info
633,Malarguesaurus,Cretaceous,herbivore,South America,no info
634,Malawisaurus,Cretaceous,herbivore,Malawi,no info
635,Maleevus,Cretaceous,herbivore,Mongolia,no info
636,Mamenchisaurus,Jurassic,herbivore,"China, Mongolia & Thailand",no info
637,Mandschurosaurus,Cretaceous,herbivore,China & Laos,no info
638,Manidens,Jurassic,omnivore,South America,no info
639,Mantellisaurus,Cretaceous,herbivore,"Belgium, England, Germany",no info
640,Mantellodon,Cretaceous,herbivore,England,no info
641,Mapusaurus,Cretaceous,carnivore,South America,no info
642,Marisaurus,Cretaceous,herbivore,Pakistan,no info
643,Marshosaurus,Jurassic,carnivore,North America,no info
644,Martharaptor,Cretaceous,carnivore,North America,no info
645,Masiakasaurus,Late Cretaceous,carnivore,Madagascar,no info
646,Massospondylus,Jurassic,herbivore,"South Africa, Lesotho, Zimbabwe",no info
647,Matheronodon,Cretaceous,herbivore,France,no info
648,Maxakalisaurus,Cretaceous,herbivore,South America,no info
649,Medusaceratops,Cretaceous,herbivore,North America,no info
650,Megacervixosaurus,Cretaceous,herbivore,China,no info
651,Megalosaurus,Jurassic,carnivore,"England, France, Austria, Romania, Belgium",no info
652,Megaraptor,Cretaceous,carnivore,South America,no info
653,Mei,Cretaceous,carnivore,China,no info
654,Melanorosaurus,Triassic,herbivore,South Africa,no info
655,Mendozasaurus,Cretaceous,herbivore,South America,no info
656,Mercuriceratops,Cretaceous,herbivore,North America,no info
657,Merosaurus,Jurassic,carnivore,England,no info
658,Metriacanthosaurus,Jurassic,carnivore,England,no info
659,Microcephale,Cretaceous,herbivore,North America,no info
660,Microceratus,Cretaceous,herbivore,Mongolia,no info
661,Microcoelus,Cretaceous,herbivore,South America,no info
662,Microdontosaurus,(unknown),herbivore,China,no info
663,Microhadrosaurus,Cretaceous,herbivore,China,no info
664,Micropachycephalosaurus,Cretaceous,herbivore,China,no info
665,Microraptor,Cretaceous,carnivore,China,no info
666,Microvenator,Cretaceous,carnivore,North America,no info
667,Minmi,Early Cretaceous,herbivore,Australia,no info
668,Minotaurasaurus,Cretaceous,herbivore,Mongolia,no info
669,Miragaia,Jurassic,herbivore,Portugal,no info
670,Mirischia,Cretaceous,carnivore,South America,no info
671,Moabosaurus,Cretaceous,herbivore,North America,no info
672,Mochlodon,Cretaceous,herbivore,Austria,no info
673,Mojoceratops,Cretaceous,herbivore,North America,no info
674,Mongolosaurus,Cretaceous,herbivore,China,no info
675,Monkonosaurus,Jurassic,herbivore,China,no info
676,Monoclonius,Cretaceous,herbivore,North America,no info
677,Monolophosaurus,Jurassic,carnivore,China,no info
678,Mononykus,Cretaceous,carnivore,Mongolia,no info
679,Montanoceratops,Cretaceous,herbivore,North America,no info
680,Morelladon,Cretaceous,herbivore,Spain,no info
681,Morinosaurus,Cretaceous,herbivore,France,no info
682,Moros,Cretaceous,carnivore,North America,no info
683,Morrosaurus,Late Cretaceous,herbivore,Antarctica,no info
684,Mosaiceratops,Cretaceous,herbivore,China,no info
685,Mussaurus,Triassic,herbivore,South America,no info
686,Muttaburrasaurus,Early Cretaceous,herbivore,Australia,no info
687,Muyelensaurus,Cretaceous,herbivore,South America,no info
688,Mymoorapelta,Jurassic,herbivore,North America,no info
689,Naashoibitosaurus,Cretaceous,herbivore,North America,no info
690,Nambalia,Late Triassic,omnivore,India,no info
691,Nankangia,Cretaceous,omnivore,China,no info
692,Nanningosaurus,Cretaceous,herbivore,China,no info
693,Nanosaurus,Jurassic,herbivore,North America,no info
694,Nanotyrannus,Cretaceous,carnivore,North America,no info
695,Nanshiungosaurus,Cretaceous,herbivore,China,no info
696,Nanuqsaurus,Cretaceous,carnivore,North America,no info
697,Nanyangosaurus,Cretaceous,herbivore,China,no info
698,Narambuenatitan,Cretaceous,herbivore,South America,no info
699,Nasutoceratops,Cretaceous,herbivore,North America,no info
700,Nebulasaurus,Jurassic,herbivore,China,no info
701,Nedcolbertia,Cretaceous,carnivore,North America,no info
702,Nedoceratops,Cretaceous,herbivore,North America,no info
703,Neimongosaurus,Cretaceous,herbivore,China,no info
704,Nemegtomaia,Cretaceous,carnivore/omnivore,Mongolia,no info
705,Nemegtonykus,Cretaceous,carnivore,Mongolia,no info
706,Nemegtosaurus,Cretaceous,herbivore,Mongolia,no info
707,Neosodon,Jurassic,herbivore,France,no info
708,Neovenator,Cretaceous,carnivore,England,no info
709,Neuquenraptor,Cretaceous,carnivore,South America,no info
710,Neuquensaurus,Cretaceous,herbivore,South America,no info
711,Newtonsaurus,Triassic,carnivore,England,no info
712,Ngexisaurus,Jurassic,carnivore,China,no info
713,Ngwevu,Jurassic,Herbivore,South Africa,no info
714,Nigersaurus,Cretaceous,herbivore,Niger,no info
715,Ningyuansaurus,Cretaceous,omnivore,China,no info
716,Niobrarasaurus,Cretaceous,herbivore,North America,no info
717,Nipponosaurus,Cretaceous,herbivore,Russia,no info
718,Noasaurus,Cretaceous,carnivore,South America,no info
719,Nodocephalosaurus,Cretaceous,herbivore,North America,no info
720,Nodosaurus,Cretaceous,herbivore,North America,no info
721,Nomingia,Cretaceous,carnivore/omnivore,Mongolia,no info
722,Nopcsaspondylus,Cretaceous,herbivore,South America,no info
723,Normanniasaurus,Cretaceous,herbivore,France,no info
724,Nothronychus,Cretaceous,herbivore,North America,no info
725,Notoceratops,Cretaceous,herbivore,South America,no info
726,Notocolossus,Cretaceous,herbivore,South America,no info
727,Notohypsilophodon,Cretaceous,herbivore,South America,no info
728,Nqwebasaurus,Cretaceous,omnivore,South Africa,no info
729,Nurosaurus,Cretaceous,herbivore,China,no info
730,Nuthetes,Cretaceous,carnivore,England,no info
731,Nyasasaurus,Triassic,carnivore,Tanzania,no info
732,Ohmdenosaurus,Jurassic,herbivore,Germany,no info
733,Ojoceratops,Cretaceous,herbivore,North America,no info
734,Ojoraptorsaurus,Cretaceous,omnivore,North America,no info
735,Olorotitan,Cretaceous,herbivore,Russia,no info
736,Omeisaurus,Jurassic,herbivore,China,no info
737,Oohkotokia,Cretaceous,herbivore,North America,no info
738,Opisthocoelicaudia,Cretaceous,herbivore,Mongolia,no info
739,Oplosaurus,Cretaceous,herbivore,England,no info
740,Orcomimus,Cretaceous,omnivore,North America,no info
741,Orkoraptor,Cretaceous,carnivore,South America,no info
742,Ornithodesmus,Cretaceous,carnivore,England,no info
743,Ornitholestes,Jurassic,carnivore,North America,no info
744,Ornithomimoides,Late Cretaceous,carnivore,India,no info
745,Ornithomimus,Cretaceous,omnivore,North America,no info
746,Ornithopsis,Cretaceous,herbivore,England,no info
747,Orodromeus,Cretaceous,herbivore,North America,no info
748,Orthogoniosaurus,Late Cretaceous,carnivore,India,no info
749,Orthomerus,Cretaceous,herbivore,"Netherlands, Belgium",no info
750,Oryctodromeus,Cretaceous,herbivore,North America,no info
751,Oshanosaurus,Jurassic,herbivore,China,no info
752,Osmakasaurus,Cretaceous,herbivore,North America,no info
753,Ostafrikasaurus,Jurassic,carnivore,Tanzania,no info
754,Othnielia,Jurassic,herbivore,North America,no info
755,Othnielosaurus,Jurassic,herbivore,North America,no info
756,Otogosaurus,Cretaceous,herbivore,China,no info
757,Ouranosaurus,Cretaceous,herbivore,Niger,no info
758,Overosaurus,Cretaceous,herbivore,South America,no info
759,Oviraptor,Cretaceous,omnivore,Mongolia,no info
760,Owenodon,Cretaceous,herbivore,England,no info
761,Oxalaia,Cretaceous,carnivore,South America,no info
762,Ozraptor,Middle Jurassic,carnivore,Australia,no info
763,Pachycephalosaurus,Cretaceous,herbivore,North America,no info
764,Pachyrhinosaurus,Cretaceous,herbivore,North America,no info
765,Pachysuchus,Jurassic,herbivore,China,no info
766,Padillasaurus,Cretaceous,herbivore,South America,no info
767,Pakisaurus,Cretaceous,herbivore,Pakistan,no info
768,Palaeopteryx,Jurassic,insectivore,North America,no info
769,Palaeoscincus,Cretaceous,herbivore,North America,no info
770,Paludititan,Cretaceous,herbivore,Romania,no info
771,Pampadromaeus,Triassic,herbivore,South America,no info
772,Pamparaptor,Cretaceous,carnivore,South America,no info
773,Panamericansaurus,Cretaceous,herbivore,South America,no info
774,Panoplosaurus,Cretaceous,herbivore,North America,no info
775,Panphagia,Triassic,omnivore,South America,no info
776,Pantydraco,Triassic,herbivore,England,no info
777,Paralititan,Cretaceous,herbivore,Egypt,no info
